,DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1_N,Level1_%,Level2_N,Level2_%,Level3_N,Level3_%,Level4_N,Level4_%,Level3+4_N,Level3+4_%
0,01M015,PS 015 ROBERTO CLEMENTE,3,2013,All Students,27,278,16,59.3,11,40.7,0,0.0,0,0.0,0,0.0
3,01M015,PS 015 ROBERTO CLEMENTE,3,2016,All Students,21,275,13,61.9,4,19.0,4,19.0,0,0.0,4,19.0
4,01M015,PS 015 ROBERTO CLEMENTE,3,2017,All Students,29,302,8,27.6,9,31.0,7,24.1,5,17.2,12,41.4
6,01M015,PS 015 ROBERTO CLEMENTE,4,2014,All Students,24,282,9,37.5,14,58.3,1,4.2,0,0.0,1,4.2
9,01M015,PS 015 ROBERTO CLEMENTE,4,2017,All Students,23,301,6,26.1,8,34.8,8,34.8,1,4.3,9,39.1
10,01M015,PS 015 ROBERTO CLEMENTE,5,2013,All Students,24,274,17,70.8,6,25.0,1,4.2,0,0.0,1,4.2
11,01M015,PS 015 ROBERTO CLEMENTE,5,2014,All Students,21,266,17,81.0,2,9.5,1,4.8,1,4.8,2,9.5
12,01M015,PS 015 ROBERTO CLEMENTE,5,2015,All Students,24,275,16,66.7,6,25.0,2,8.3,0,0.0,2,8.3
15,01M015,PS 015 ROBERTO CLEMENTE,All Grades,2013,All Students,71,276,45,63.4,23,32.4,2,2.8,1,1.4,3,4.2
16,01M015,PS 015 ROBERTO CLEMENTE,All Grades,2014,All Students,63,278,32,50.8,25,39.7,4,6.3,2,3.2,6,9.5
17,01M015,PS 015 ROBERTO CLEMENTE,All Grades,2015,All Students,58,278,34,58.6,17,29.3,6,10.3,1,1.7,7,12.1
18,01M015,PS 015 ROBERTO CLEMENTE,All Grades,2016,All Students,52,286,23,44.2,18,34.6,9,17.3,2,3.8,11,21.2
19,01M015,PS 015 ROBERTO CLEMENTE,All Grades,2017,All Students,69,307,16,23.2,22,31.9,23,33.3,8,11.6,31,44.9
20,01M019,PS 019 ASHER LEVY,3,2013,All Students,36,311,8,22.2,10,27.8,10,27.8,8,22.2,18,50.0
21,01M019,PS 019 ASHER LEVY,3,2014,All Students,35,311,8,22.9,10,28.6,11,31.4,6,17.1,17,48.6
22,01M019,PS 019 ASHER LEVY,3,2015,All Students,28,303,6,21.4,11,39.3,9,32.1,2,7.1,11,39.3
